artist_mbid,artist_name,rg_mbid,rg_title,primary_type,first_release_date,first_release_year
40e7db0c-e64b-4bf3-94b5-ed7cad445158,Marco Puma,7dae3524-b497-4edf-8596-ae19c23d7dad,Soy yo,Album,2019-10-17,2019.0
734d0f6d-5221-4b0c-95a8-bc154ed4ae33,Melvin War,166549ef-1602-4fed-9d9f-53b0620e9791,No Guidance (Bachata Version),Single,,
ded4b25a-e5c2-42df-a87c-fd55f294faa2,Mr. Don,b7387700-1ff7-486b-b354-04123d759f5a,Para Que No Me Duela Tanto,Single,2019-09-12,2019.0
ded4b25a-e5c2-42df-a87c-fd55f294faa2,Mr. Don,dedc6962-4ab1-413e-84bf-95a390b2d3d6,Perfecta (Bachata Version),Single,2022-08-19,2022.0
ded4b25a-e5c2-42df-a87c-fd55f294faa2,Mr. Don,bfaf62be-069d-4d5f-9801-74e8e3670251,Hookah & Sheridan's (Bachata Version),Single,,
f0f0b4f5-0261-4bf5-ad61-7a1befec2265,Mr.Don,9cd36043-ffae-49e6-8913-d4ffe018a30e,Amigos Con Derechos,Single,,
f0f0b4f5-0261-4bf5-ad61-7a1befec2265,Mr.Don,b5f46e37-46e6-4478-9d44-dd9c3631e289,Somebody (Bachata),Single,,
0632484a-38f2-42f0-bf23-ab93d683e899,Paul Waked,c7be3114-2f99-4867-b964-93972f55d30a,3 Daqat Bachata,Single,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,6da4a1b8-6a8f-3fb2-b947-302dd39180d9,Planet Neptune,Album,2002,2002.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,b093c950-56aa-34d4-bfee-43e7c2f955a0,Alive on Arrival,Album,2006,2006.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,9e4828b5-0eb1-4953-9fac-1c6cf47ed9b8,Best of Black ’06: The Finest Black Music of the Year,Album,2006-11-10,2006.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,900411c4-d0e1-3035-93e7-94c2fb258624,Number One,Single,2006,2006.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,c54b3b99-0ee3-328d-8a0c-dc4aa4e76594,"Promo Only: Urban Club, November 2006",Album,2006-10-09,2006.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,87a2956c-5426-470d-9524-69094c41f818,Street Bass Anthems,Album,2006,2006.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,b26b5711-1a7b-4004-8c62-07a7d1445fbd,That Girl,Single,2006-10-30,2006.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,76c9a3f4-e096-411a-b1c9-6cfd8b52c97c,"The Braun MTV Eurochart 2006, Volume 2",Album,2006-02,2006.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,de9e5810-b132-4135-947f-2ca0a9f99022,Out of My Mind,Album,2007,2007.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,40df58ca-b790-4106-9d31-3071c462c9a3,Out of This World,Album,2009-01-18,2009.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,af8f5633-cebe-4627-b776-1c1be88f593c,Despicable Me: Original Motion Picture Soundtrack,Album,2010-07-06,2010.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,b3c00ec2-67eb-4fcb-922d-7cc159503947,The Billionaire Boys Club Tape,Album,2012-07-30,2012.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,a74f9e1c-e4ca-4768-b349-7c599c977234,"Promo Only: Hot Video, January 2014",Album,2013-12,2013.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,613bf7e1-4ddc-4542-a04a-fe6a16c6465f,"Boiler Room: DJ Jazzy Jeff in London, Apr 18, 2014",Album,2014-04-18,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,659b5aef-15bd-474e-92d0-f31906e19f7d,Chilled R&B: The Gold Edition,Album,2014-07-04,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,aa6517bb-49e8-49a7-9050-d82819dc4d4b,Cloud Club,Album,2014-03-17,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,dd7c7512-d98c-49be-8814-4d2939420dba,Die Ultimative Chart Show - Die Erfolgreichsten Album-Hits 2014,Album,2014,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,be3449fb-60ac-4c9a-97e0-3ad17fa6907b,Diplo & Friends Guest Mix,Broadcast,2014,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,b98397c3-76c8-4d00-8274-fbbc418bb99f,G I R L,Album,2014-03-03,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,0edb651f-29a2-4949-968f-84b327a49143,Gust of Wind,Single,2014-12-05,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,48dfa6b9-b4ae-461d-a993-a5c1b93f4cab,Happy (YourEnigma Remix),Single,2014-05-22,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,c0dc20f5-315b-4662-a9ea-9e039c16d77c,La Rentrée Des Hits 2014,Album,2014-08-21,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,64b18de5-2e49-4a1c-b2b7-506df93da43c,Marilyn Monroe,Single,2014-05-30,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,f0c5d009-8fac-480a-af66-39fe8aae41fe,MuchDance 2015,Album,2014-11-04,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,db694f56-ca10-4981-9467-fc01b46e48d4,NBA2K15,Album,2014-10-07,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,7e4db74c-f0d3-4831-852d-6c4bbaf782ad,NRJ Summer Hits Only 2014,Album,2014-06-20,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,d80fb44a-c372-4a60-8d69-b4e103ce11ae,Planète Rap 2014 Vol.2,Album,2014-08-04,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,52659e28-9e7a-4256-8bc1-c1a7331a1779,"Promo Only: Mainstream Radio, February 2014",Album,2014-01-21,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,d2ae8f7d-1fc2-4195-b378-19f63bb0508b,Skyradio,Album,2014,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,85a0af61-bf1f-4e47-9ef6-a8c843e0accd,So Fresh: The Hits of Spring 2014,Album,2014,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,ac38cb47-19c0-4bee-8187-cb30fefed6fd,"The Dome, Volume 72",Album,2014-12-05,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,c7668613-ed2d-432d-9846-670fe633ee07,Voices,Album,2014-02-16,2014.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,4390804a-0688-4408-9d32-c4020cf99d03,De Maxx Long Player 35: The Remix Edition,Album,2015-11-13,2015.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,98aa3702-096d-47c8-8dc8-eddd70cf9c42,Echo: Deutscher Musikpreis 2015,Album,2015-03-20,2015.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,bfec9044-cf7e-4b01-88f9-0d1a7e96b4d4,"Flip Wilson, Vol. 1",Album,2015-01-29,2015.0
